id,currently_anchored,did_accept_challenge,question_object_id,island_id,participant_id,question_content_type_id,treasure_id,last_anchored_at,challenge_accepted_at,did_open_treasure,did_reach,reached_at,treasure_opened_at,currently_in,is_treasure_visible,did_spade,spaded_at
140,f,f,22,35,288,14,10,,,f,f,,,f,f,f,
141,f,f,3,1,207,15,11,,,f,f,,,f,f,f,
142,f,f,10,2,207,15,1,,,f,f,,,f,f,f,
143,f,f,20,3,207,15,18,,,f,f,,,f,f,f,
144,f,f,24,4,207,15,20,,,f,f,,,f,f,f,
147,f,f,36,7,207,15,2,,,f,f,,,f,f,f,
148,f,f,5,8,207,14,15,,,f,f,,,f,f,f,
149,f,f,14,9,207,14,6,,,f,f,,,f,f,f,
150,f,f,41,10,207,15,10,,,f,f,,,f,f,f,
151,f,f,42,11,207,15,23,,,f,f,,,f,f,f,
152,f,f,52,12,207,15,16,,,f,f,,,f,f,f,
153,f,f,55,13,207,15,30,,,f,f,,,f,f,f,
154,f,f,62,14,207,15,9,,,f,f,,,f,f,f,
155,f,f,69,15,207,15,19,,,f,f,,,f,f,f,
157,f,f,76,17,207,15,21,,,f,f,,,f,f,f,
158,f,f,77,18,207,15,27,,,f,f,,,f,f,f,
160,f,f,,20,207,,,,,f,f,,,f,f,f,
161,f,f,89,21,207,15,24,,,f,f,,,f,f,f,
162,f,f,95,22,207,15,31,,,f,f,,,f,f,f,
163,f,f,102,23,207,15,26,,,f,f,,,f,f,f,
164,f,f,106,24,207,15,22,,,f,f,,,f,f,f,
199,f,t,104,24,249,15,17,2020-03-28 08:48:22.823859+00,2020-03-28 08:48:37.211138+00,t,t,2020-03-28 08:48:15.800573+00,2020-03-28 09:21:08.092086+00,f,t,f,
165,f,f,113,25,207,15,29,,,f,f,,,f,f,f,
196,f,t,93,21,249,15,22,2020-03-28 06:52:52.42346+00,2020-03-28 06:53:11.027172+00,t,t,2020-03-28 06:51:13.831421+00,2020-03-28 08:23:20.678929+00,f,t,f,
166,f,f,117,26,207,15,17,,,f,f,,,f,f,f,
167,f,f,124,27,207,15,34,,,f,f,,,f,f,f,
200,f,t,111,25,249,15,6,2020-03-28 09:22:21.516532+00,2020-03-28 09:22:27.460146+00,t,t,2020-03-28 09:22:12.096535+00,2020-03-28 10:45:32.374947+00,f,t,f,
168,f,f,125,28,207,15,3,,,f,f,,,f,f,f,
198,f,t,99,23,249,15,19,2020-03-28 08:25:38.928109+00,2020-03-28 08:25:44.147469+00,t,t,2020-03-28 08:25:30.282631+00,2020-03-28 08:46:58.279208+00,f,t,f,
169,f,f,127,29,207,15,7,,,f,f,,,f,f,f,
170,f,f,134,30,207,15,4,,,f,f,,,f,f,f,
201,f,f,119,26,249,15,9,2020-03-28 10:57:08.770107+00,,t,t,2020-03-28 10:56:47.411131+00,2020-03-28 10:57:33.120191+00,f,t,f,
171,f,f,139,31,207,15,8,,,f,f,,,f,f,f,
172,f,f,23,32,207,14,25,,,f,f,,,f,f,f,
202,f,f,121,27,249,15,2,2020-03-28 11:01:44.220842+00,,t,t,2020-03-28 11:01:32.782574+00,2020-03-28 11:02:28.130422+00,f,t,f,
173,f,f,148,33,207,15,33,,,f,f,,,f,f,f,
203,t,f,125,28,249,15,13,2020-03-28 11:33:25.73639+00,,t,t,2020-03-28 11:33:17.044161+00,2020-03-28 11:33:38.12098+00,t,t,f,
174,f,f,154,34,207,15,32,,,f,f,,,f,f,f,
175,f,f,21,35,207,14,14,,,f,f,,,f,f,f,
176,f,f,3,1,249,15,33,,,f,f,,,f,f,f,
177,f,f,10,2,249,15,26,,,f,f,,,f,f,f,
178,f,f,16,3,249,15,12,,,f,f,,,f,f,f,
179,f,f,24,4,249,15,10,,,f,f,,,f,f,f,
180,f,f,31,5,249,15,14,,,f,f,,,f,f,f,
181,f,f,34,6,249,15,24,,,f,f,,,f,f,f,
182,f,f,36,7,249,15,34,,,f,f,,,f,f,f,
183,f,f,2,8,249,14,3,,,f,f,,,f,f,f,
184,f,f,17,9,249,14,8,,,f,f,,,f,f,f,
185,f,f,39,10,249,15,16,,,f,f,,,f,f,f,
186,f,f,46,11,249,15,29,,,f,f,,,f,f,f,
187,f,f,49,12,249,15,15,,,f,f,,,f,f,f,
188,f,f,53,13,249,15,18,,,f,f,,,f,f,f,
189,f,f,57,14,249,15,28,,,f,f,,,f,f,f,
190,f,f,66,15,249,15,27,,,f,f,,,f,f,f,
191,f,f,71,16,249,15,23,,,f,f,,,f,f,f,
192,f,f,72,17,249,15,7,,,f,f,,,f,f,f,
193,f,f,77,18,249,15,30,,,f,f,,,f,f,f,
194,f,f,87,19,249,15,1,,,f,f,,,f,f,f,
195,f,f,,20,249,,,,,f,f,,,f,f,f,
197,f,f,95,22,249,15,4,,,f,f,,,f,f,f,
204,f,f,127,29,249,15,21,,,f,f,,,f,f,f,
205,f,f,137,30,249,15,11,,,f,f,,,f,f,f,
206,f,f,141,31,249,15,20,,,f,f,,,f,f,f,
207,f,f,23,32,249,14,5,,,f,f,,,f,f,f,
208,f,f,146,33,249,15,25,,,f,f,,,f,f,f,
209,f,f,153,34,249,15,31,,,f,f,,,f,f,f,
210,f,f,18,35,249,14,32,,,f,f,,,f,f,f,
211,f,f,4,1,285,15,12,,,f,f,,,f,f,f,
212,f,f,9,2,285,15,1,,,f,f,,,f,f,f,
213,f,f,17,3,285,15,17,,,f,f,,,f,f,f,
214,f,f,21,4,285,15,9,,,f,f,,,f,f,f,
215,f,f,27,5,285,15,21,,,f,f,,,f,f,f,
216,f,f,35,6,285,15,33,,,f,f,,,f,f,f,
217,f,f,36,7,285,15,2,,,f,f,,,f,f,f,
218,f,f,2,8,285,14,8,,,f,f,,,f,f,f,
219,f,f,16,9,285,14,25,,,f,f,,,f,f,f,
220,f,f,40,10,285,15,15,,,f,f,,,f,f,f,
221,f,f,42,11,285,15,16,,,f,f,,,f,f,f,
222,f,f,49,12,285,15,4,,,f,f,,,f,f,f,
223,f,f,56,13,285,15,31,,,f,f,,,f,f,f,
224,f,f,63,14,285,15,27,,,f,f,,,f,f,f,
225,f,f,69,15,285,15,34,,,f,f,,,f,f,f,
226,f,f,71,16,285,15,28,,,f,f,,,f,f,f,
227,f,f,76,17,285,15,26,,,f,f,,,f,f,f,
228,f,f,79,18,285,15,13,,,f,f,,,f,f,f,
229,f,f,85,19,285,15,23,,,f,f,,,f,f,f,
230,f,f,,20,285,,,,,f,f,,,f,f,f,
231,f,f,93,21,285,15,20,,,f,f,,,f,f,f,
232,f,f,98,22,285,15,11,,,f,f,,,f,f,f,
233,f,f,101,23,285,15,32,,,f,f,,,f,f,f,
234,f,f,105,24,285,15,24,,,f,f,,,f,f,f,
235,f,f,112,25,285,15,29,,,f,f,,,f,f,f,
236,f,f,116,26,285,15,14,,,f,f,,,f,f,f,
237,f,f,123,27,285,15,6,,,f,f,,,f,f,f,
238,f,f,125,28,285,15,18,,,f,f,,,f,f,f,
239,f,f,127,29,285,15,22,,,f,f,,,f,f,f,
240,f,f,136,30,285,15,5,,,f,f,,,f,f,f,
241,f,f,143,31,285,15,19,,,f,f,,,f,f,f,
242,f,f,27,32,285,14,30,,,f,f,,,f,f,f,
243,f,f,144,33,285,15,7,,,f,f,,,f,f,f,
244,f,f,155,34,285,15,10,,,f,f,,,f,f,f,
245,f,f,22,35,285,14,3,,,f,f,,,f,f,f,
249,f,t,22,4,16,15,27,2020-03-28 08:10:11.034377+00,2020-03-28 08:10:17.282241+00,t,t,2020-03-28 08:09:39.17085+00,2020-03-28 09:41:53.527496+00,f,t,f,
246,f,f,3,1,16,15,13,,,f,f,,,f,f,f,
256,t,f,43,11,16,15,31,2020-03-28 11:44:10.166257+00,,t,t,2020-03-28 11:37:54.837167+00,2020-03-28 11:45:17.511317+00,t,t,f,
248,f,t,15,3,16,15,34,2020-03-28 07:33:46.598574+00,2020-03-28 07:33:55.312428+00,f,t,2020-03-28 07:32:09.451698+00,,f,t,f,
247,f,f,9,2,16,15,2,,,f,f,,,f,f,f,
252,f,t,36,7,16,15,5,2020-03-28 09:43:47.644351+00,2020-03-28 09:44:16.829541+00,f,t,2020-03-28 09:43:32.248116+00,,f,t,f,
250,f,f,28,5,16,15,8,,,f,f,,,f,f,f,
251,f,f,35,6,16,15,9,,,f,f,,,f,f,f,
254,f,t,15,9,16,14,16,2020-03-28 10:01:53.170304+00,2020-03-28 10:03:09.087143+00,t,t,2020-03-28 10:01:32.541327+00,2020-03-28 10:02:57.592375+00,f,t,f,
253,f,f,5,8,16,14,23,,,f,f,,,f,f,f,
255,f,f,38,10,16,15,19,,,f,f,,,f,f,f,
257,f,f,48,12,16,15,6,,,f,f,,,f,f,f,
258,f,f,53,13,16,15,15,,,f,f,,,f,f,f,
259,f,f,57,14,16,15,7,,,f,f,,,f,f,f,
260,f,f,70,15,16,15,12,,,f,f,,,f,f,f,
261,f,f,71,16,16,15,26,,,f,f,,,f,f,f,
262,f,f,72,17,16,15,32,,,f,f,,,f,f,f,
263,f,f,78,18,16,15,24,,,f,f,,,f,f,f,
264,f,f,86,19,16,15,18,,,f,f,,,f,f,f,
265,f,f,,20,16,,,,,f,f,,,f,f,f,
266,f,f,93,21,16,15,25,,,f,f,,,f,f,f,
267,f,f,97,22,16,15,4,,,f,f,,,f,f,f,
268,f,f,101,23,16,15,29,,,f,f,,,f,f,f,
